MJD,Filter,Flux1,σ1,Flux2,σ2,Flux3,σ3,Flux4,σ4
57685.952,F390W,0.724,0.126,0.352,0.126,0.123,0.126,0.01,0.126
57685.949,F475W,7.639,0.357,2.578,0.317,0.387,0.355,0.182,0.353
57689.921,F475W,6.034,0.183,2.128,0.165,0.397,0.16,0.371,0.167
57685.93,F625W,51.713,0.36,16.248,0.319,3.908,0.311,2.112,0.314
57689.923,F625W,37.214,0.258,12.243,0.231,3.499,0.231,1.674,0.229
57694.217,F625W,31.531,0.141,10.781,0.127,2.702,0.125,1.105,0.124
57698.255,F625W,26.375,0.16,9.073,0.142,2.586,0.14,1.082,0.139
57702.166,F625W,17.133,0.181,8.084,0.168,1.904,0.164,1.094,0.166
57707.131,F625W,17.013,0.153,6.499,0.136,2.518,0.135,1.089,0.135
57709.731,F625W,19.432,0.133,6.586,0.121,1.613,0.119,0.753,0.12
57714.343,F625W,17.807,0.153,6.188,0.14,1.838,0.138,1.142,0.14
57718.186,F625W,16.624,0.151,5.907,0.141,1.737,0.139,0.564,0.141
57685.947,F814W,109.684,0.621,37.694,0.541,11.404,0.532,8.352,0.543
57689.925,F814W,91.459,0.363,32.381,0.306,8.419,0.301,6.558,0.305
57694.219,F814W,84.043,0.239,28.041,0.2,8.525,0.197,6.485,0.199
57698.257,F814W,68.913,0.294,23.438,0.259,6.282,0.256,5.282,0.257
57702.168,F814W,58.245,0.239,17.679,0.223,5.878,0.221,5.173,0.223
57707.133,F814W,46.287,0.299,16.195,0.284,6.057,0.283,4.481,0.284
57709.763,F814W,44.643,0.276,15.938,0.263,4.374,0.261,3.945,0.262
57714.345,F814W,40.195,0.26,13.987,0.235,3.712,0.232,3.043,0.233
57718.189,F814W,36.566,0.253,12.51,0.234,4.537,0.233,3.763,0.235
57681.641,F110W,614.912,17.284,230.826,17.368,84.698,17.163,118.027,17.329
57685.99,F110W,500.802,20.789,282.373,21,116.957,20.809,99.238,21.027
57689.965,F110W,641.963,19.965,276.658,19.975,96.479,19.72,87.506,19.761
57694.263,F110W,667.005,12.518,232.676,12.572,93.027,12.386,91.516,12.498
57698.266,F110W,536.644,13.021,191.472,13.091,73.037,12.926,88.226,13.063
57702.175,F110W,381.608,15.014,179.868,15.073,72.463,14.965,80.242,15.051
57707.142,F110W,327.289,24.493,132.207,24.504,53.472,24.458,58.055,24.485
57709.785,F110W,251.143,16.229,142.796,16.249,56.224,16.174,44.146,16.208
57714.354,F110W,253.175,46.9,123.602,46.909,45.288,46.89,31.003,46.901
57718.196,F110W,231.738,12.747,103.494,12.763,44.747,12.702,30.562,12.731
57681.644,F160W,148.62,5.715,64.607,5.728,23.347,5.713,30.422,5.734
57685.992,F160W,149.738,5.307,71.464,5.327,37.903,5.27,24.748,5.318
57689.968,F160W,222.888,6.139,89.367,6.158,36.708,6.108,22.744,6.145
57694.265,F160W,265.299,7.666,106.757,7.685,32.91,7.625,50.389,7.676
57698.269,F160W,239.893,5.68,94.505,5.689,34.862,5.588,52.747,5.654
57702.177,F160W,201.365,6.465,84.814,6.48,30.358,6.462,37.136,6.485
57707.145,F160W,166.162,6.944,74.411,6.952,27,6.917,25.435,6.938
57709.787,F160W,139.532,4.371,65.376,4.395,27.973,4.363,23.446,4.402
57714.357,F160W,136.585,23.648,54.621,23.651,24.437,23.651,16.295,23.655
57718.198,F160W,121.397,4.181,48.36,4.193,20.446,4.166,14.082,4.189
